Age Range,Industry, Job title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
25-34,"Marketing, Advertising & Pr",Account Manager,49000,0,United StatesD,United States,Tennessee,Nashville,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Utilities & Telecommunications,Team Leader,48900,3400,CAD,Canada,Unknown,Toronto ,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Health Care,Medical Staff Representative,48880,48880,United StatesD,United States,North Carolina,Raleigh,8 - 10 years,1 year or less,College degree,Woman
25-34,Nonprofits,Continuing Education Librarian,48807,0,United StatesD,United States,New York,SyracUnited Statese,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Law,Post-Bar Law Clerk,48800,0,United StatesD,United States,California, Ventura ,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Education (Higher Education),Human Resources Generalist,48701,0,United StatesD,United States,Texas,Gainesville,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,"Operations, Manager",48600,0,United StatesD,United States,Ohio,ColumbUnited States,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Program Manager,48600,0,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Government And Public Administration,Librarian,48500,50,United StatesD,United States,Michigan,Mattawan,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Insurance,Account Manager,48500,5000,United StatesD,United States,Illinois,Champaign,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Education (Higher Education),Operations Manager,48195,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,Senior Product Manager,48195,0,GBP,United Kingdom,Unknown,Bristol,8 - 10 years,2 - 4 years,High School,Woman
25-34,Education (Higher Education),Senior Grants & Contracts Administrator,48070,0,United StatesD,United States,Missouri,Columbia,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Education (Higher Education),Program Manager,48000,3000,EUR,France,Unknown,Paris,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,Special Event Coordinator,48000,0,United StatesD,United States,Tennessee,Knoxville,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Property Or Construction,On-Site Maintenance ,48000,0,United StatesD,United States,Wisconsin,Milwaukee ,8 - 10 years,5 - 7 years,Some college,Man
25-34,Transport Or Logistics,Buyer,48000,4000,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Marketing, Advertising & Pr",Copywriting Supervisor,48000,1500,United StatesD,United States,New York,Buffalo,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Computing Or Tech,Sales And Marketing Manager,48000,0,United StatesD,United States,California,San Jose,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Nonprofits,Development Associate,48000,0,United StatesD,United States,MassachUnited Statesetts,Sudbury,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Nonprofits,Communications Director,48000,0,United StatesD,United States,California,Orange County,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Health Care,Rbt,48000,0,United StatesD,United States,Florida,Tampa,8 - 10 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Staff Accountant,48000,0,United StatesD,United States,Minnesota,Eagan,8 - 10 years,2 - 4 years,Some college,Man
25-34,Nonprofits,Senior Event Programmer,48000,2000,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,5 - 7 years,Some college,Woman
55-64,Media & Digital,Data Analyst ,48000,300,United StatesD,United States,Missouri,Lee's Summit ,8 - 10 years,11 - 20 years,High School,Woman
35-44,Education (Higher Education),Coordinator,48000,0,United StatesD,United States,Texas,Waco,8 - 10 years,5 - 7 years,High School,Woman
25-34,Entertainment,Coordinator,48000,0,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Construction,Carpenter,48000,0,United StatesD,United States,"Iowa, Nebraska",Omaha,8 - 10 years,2 - 4 years,Some college,Woman
25-34,Hospitality & Events,Meeting And Events Hounited Statesing Specialist,48000,0,United StatesD,United States,Missouri,Remote,8 - 10 years,5 - 7 years,College degree,Man
25-34,Law,Administrative Assistant ,48000,0,United StatesD,United States,California,Westlake Village,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Loan Servicing Officer,48000,2000,CAD,Canada,Unknown,Toronto,8 - 10 years,2 - 4 years,Master's degree,Non-binary
25-34,Law Enforcement & Security,Data Analyst,48000,0,United StatesD,United States,California,Los Angeles,8 - 10 years,1 year or less,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Consultant ,48000,4000,EUR,Germany,Unknown,Berlin,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Property Or Construction,Administrative Assistant / Marketing Coordinator,48000,5000,United StatesD,United States,Oregon,Portland,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Accounts Payable Clerk,48000,0,United StatesD,United States,Illinois,Evanston,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Recruitment Or Hr,Recruiter,48000,0,United StatesD,United States,North Carolina,Greensboro,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Insurance,Cunited Statestomer Service Technical Trainer,48000,1900,United StatesD,United States,New York,SyracUnited Statese,8 - 10 years,2 - 4 years,Master's degree,Woman
45-54,Health Care,Licensed Massage Therapist,48000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Recruitment Or Hr,Hr Coordinator,48000,1000,United StatesD,United States,New York,NYC,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Art & Design,Landscape Designer,48000,850,United StatesD,United States,Ohio,ColumbUnited States,8 - 10 years,5 - 7 years,College degree,Man
35-44,Nonprofits,Development Coordinator ,48000,0,United StatesD,United States,Connecticut,Hartford,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Health Care,Community Living Team Manager ,48000,0,United StatesD,United States,New York,Malone ,8 - 10 years,2 - 4 years,Master's degree,Man
25-34,Education (Primary/Secondary),Ela Teacher,48000,0,United StatesD,United States,Virginia,Hampton,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Insurance,Bunited Statesiness Development & Service Manager,48000,15000,United StatesD,United States,Virginia,Richmond,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Social Work,Case Manager ,48000,0,CAD,Canada,Unknown,Halifax,8 - 10 years,1 year or less,Master's degree,Woman
25-34,Law,Legal Assistant,47840,3000,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,1 year or less,College degree,Woman
25-34,Transport Or Logistics,Sr Cunited Statestomer Service Lead,47840,0,United StatesD,United States,Pennsylvania,Lehigh Valley,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Client Services Coordinator,47840,0,United StatesD,United States,Florida,Sarasota ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Property Or Construction,Architectural Technologist,47775,0,CAD,Canada,Unknown,Ottawa,8 - 10 years,2 - 4 years,College degree,Man
25-34,Public Libraries,Librarian 2,47700,0,United StatesD,United States,New Jersey,Atlantic City,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Nonprofits,Database Manager,47500,0,United StatesD,United States,Colorado,Denver,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Education (Primary/Secondary),High School Teacher,47500,0,United StatesD,United States,Florida,Saint Petersburg,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Warehounited Statese- Food And Beverage ,Quality Supervisor,47500,4750,United StatesD,United States,Texas,Irving,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Librarian,47500,0,United StatesD,United States,New York,Schenectady,8 - 10 years,5 - 7 years,Master's degree,Non-binary
25-34,Real Estate Title Company,Title Processor,47445,6948,United StatesD,United States,Pennsylvania,Devon,8 - 10 years,5 - 7 years,Some college,Man
45-54,Education (Primary/Secondary),High School Math Teacher,47400,0,United StatesD,United States,Alabama,Smiths Station,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Programme Manager,47000,0,EUR,Ireland,Unknown,Dublin,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Social Work,Program Coordinator,47000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Engineering Or Manufacturing,Associate Scientist ,47000,0,United StatesD,United States,Michigan,Ann Arbor,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Retail,Physical Inventory And Inventory Control Supervisor ,47000,4700,United StatesD,United States,Indiana,Indianapolis ,8 - 10 years,5 - 7 years,Some college,Woman
35-44,Education (Higher Education),Academic Advisor,47000,0,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Social Work,Success Coach,47000,0,CAD,Canada,Unknown,Calgary,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Social Media Manager ,47000,0,United StatesD,United States,Ohio,ColumbUnited States,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Marketing, Advertising & Pr",Copywriter,47000,0,United StatesD,United States,Delaware,Smyrna,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Counselor,47000,3000,United StatesD,United States,New York,Buffalo,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Education (Higher Education),Reference And Research Librarian,47000,0,United StatesD,United States,South Carolina,Spartanburg ,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Nonprofits,Operations Manager,47000,0,United StatesD,United States,Maryland,Silver Spring,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Education (Higher Education),Administrative Assistant,47000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Utilities & Telecommunications,Utility Arborist,47000,3000,United StatesD,United States,Kentucky,Louisville,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Transport Or Logistics,Import Coordinator,47000,0,United StatesD,United States,Illinois,Itasca,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Systems Administrator,47000,100,United StatesD,United States,Wisconsin,Madison,8 - 10 years,2 - 4 years,High School,Man
25-34,Law Enforcement & Security,Forensic Latent Print Analyst,46976,960,United StatesD,United States,Florida,Winter Haven,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Program Coordinator ,46800,0,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Program Coordinator,46725,0,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Non-Profit Health Care (I Couldn’T Select Both),Registered Dietitian ,46700,0,United StatesD,United States,Missouri,St. Louis,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Claims Processor 2,46698,6200,United StatesD,United States,Minnesota,Minneapolis suburbs,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Law,Case Manager,46280,1500,United StatesD,United States,Maine,Portland,8 - 10 years,2 - 4 years,Some college,Woman
25-34,Computing Or Tech,Support Specialist,46170,0,United StatesD,United States,Michigan,Clinton Township,8 - 10 years,2 - 4 years,Some college,Woman
25-34,Nonprofits,Marketing Assistant,46100,0,United StatesD,United States,Georgia,Atlanta,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Senior Cunited Statestomer Champion,46100,7000,GBP,England,Unknown,London,8 - 10 years,5 - 7 years,College degree,Man
25-34,Education (Higher Education),Financial Aid Counselor,46083,0,United StatesD,United States,Tennessee,Knoxville,8 - 10 years,1 year or less,College degree,Man
25-34,Insurance,Senior Cunited Statestomer Service Agent,46000,8000,United StatesD,United States,Michigan,Howell,8 - 10 years,1 year or less,Some college,Woman
25-34,Computing Or Tech,Senior Software Engineer,46000,0,GBP,United Kingdom,Unknown,"Newcastle, UK",8 - 10 years,2 - 4 years,Master's degree,Unknown
25-34,Property Or Construction,Showroom Coordinator,46000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,1 year or less,High School,Woman
25-34,Government And Public Administration,Public Affairs Specialist ,46000,0,United StatesD,United States,West Virginia,Charleston,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Cx Coach ,46000,1000,United StatesD,United States,Utah,Orem,8 - 10 years,2 - 4 years,High School,Woman
25-34,Art & Design,Interior Designer,46000,500,United StatesD,United States,Georgia,Atlanta,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Nonprofits,Program Manager,46000,0,United StatesD,United States,Colorado,Denver,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Education (Higher Education),Program Coordinator,46000,0,United StatesD,United States,Minnesota,Minneapolis,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Property Appraiser,46000,0,United StatesD,United States,Montana,Bozeman,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Bunited Statesiness Or Consulting,Executive Assistant,46000,6500,GBP,United Kingdom,Unknown,London,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Assistant Company Secretary,46000,0,GBP,United Kingdom,Unknown,London ,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Education (Primary/Secondary),Science Teacher,46000,0,United StatesD,United States,Virginia,Woodbridge,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Insurance,Account Manager,46000,1000,United StatesD,United States,Kentucky,Lexington,8 - 10 years,1 year or less,Some college,Woman
25-34,Law,Paralegal,46000,3000,United StatesD,United States,Utah,Salt Lake City,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Librarian,46000,0,United StatesD,United States,Utah,Orem,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Social Work,Care Manager,46000,0,United StatesD,United States,Maryland,Rockville,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Volunteer Engagement Coordinator,46000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,Outreach Manager,45900,0,United StatesD,United States,Indiana,Indianapolis,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Education (Higher Education),Internship Program Coordinator,45777,0,United StatesD,United States,Minnesota,Saint Paul,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Retail,Department Supervisor,45760,4000,United StatesD,United States,Virginia,Richmond,8 - 10 years,5 - 7 years,College degree,Man
25-34,Law,Paralegal ,45760,1000,United StatesD,United States,Washington,Seattle,8 - 10 years,1 year or less,College degree,Woman
25-34,Engineering Or Manufacturing,Maintenance Technician ,45760,24180,United StatesD,United States,Georgia,Adairsville,8 - 10 years,2 - 4 years,High School,Man
25-34,Bunited Statesiness Or Consulting,Communications Coordinator,45700,1000,CAD,Canada,Unknown,Halifax,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Librarian,Adult Services Librarian,45700,0,United StatesD,United States,New York,Johnson City,8 - 10 years,5 - 7 years,Master's degree,Non-binary
25-34,Education (Primary/Secondary),Middle School Teacher,45250,0,United StatesD,United States,Maine,Maine,8 - 10 years,1 year or less,Master's degree,Woman
25-34,Bunited Statesiness Or Consulting,Admin Assistant,45240,500,United StatesD,United States,District of Columbia,"Washington, DC",8 - 10 years,5 - 7 years,Some college,Man
35-44,Transport Or Logistics,Dispatcher,45115,800,United StatesD,United States,Ohio,Westlake,8 - 10 years,5 - 7 years,High School,Man
25-34,Computing Or Tech,Product Manager,45000,0,GBP,United Kingdom,Unknown,London,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Law,Solicitor,45000,0,GBP,United Kingdom,Unknown,"Small town called Reigate, in Surrey jUnited Statest outside London",8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Media & Digital,Ecomm Merchandiser,45000,2000,EUR,Ireland,Unknown,No city,8 - 10 years,5 - 7 years,Some college,Woman
45-54,Sales,New Build Sales Executive ,45000,0,GBP,United Kingdom,Unknown,Merseyside ,8 - 10 years,11 - 20 years,Some college,Woman
25-34,Nonprofits,Digital Product Manager,45000,0,GBP,United Kingdom,Unknown,London,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Research Manager / Senior Consultant,45000,1000,GBP,United Kingdom,Unknown,London,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Data Manager,45000,0,United StatesD,United States,Louisiana,New Orleans,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Science Instructor ,45000,0,United StatesD,United States,New York,NYC,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Communications Coordinator,45000,2000,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Subsidized Seniors Hounited Statesing,Administrative Support,45000,0,CAD,Canada,Unknown,Edmonton,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Outreach,45000,0,United StatesD,United States,Arizona,Tucson,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Education (Higher Education),Library Assistant,45000,0,CAD,Canada,Unknown,Halifax,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Nonprofits,Program Admin ,45000,0,United StatesD,United States,Washington,Seattle ,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Public Relations Specialist,45000,2000,United StatesD,United States,Montana,Billings,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Sales,Bunited Statesiness Development Representative,45000,15000,United StatesD,United States,Illinois,Chicago,8 - 10 years,1 year or less,College degree,Man
25-34,Property Or Construction,Director Of Property Management,45000,0,United StatesD,United States,Louisiana,New Orleans,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Theatre Technical Director ,45000,5000,United StatesD,United States,Illinois,Chicago ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Sales,Market Manager,45000,10000,United StatesD,United States,Ohio,Remote,8 - 10 years,1 year or less,High School,Woman
25-34,"Marketing, Advertising & Pr",Analyst,45000,0,CAD,Canada,Unknown,Toronto,8 - 10 years,2 - 4 years,College degree,Man
35-44,"Accounting, Banking & Finance",Administrative Assistant,45000,0,United StatesD,United States,Wisconsin,Madison,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Art & Design,Graphic Designer,45000,2000,United StatesD,United States,Connecticut,Hartford,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Health Care,Executive Assistant,45000,1500,United StatesD,United States,Michigan,Northern Michigan,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Media & Digital,Sales And Marketing Associate,45000,1000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Media & Digital,Editor,45000,0,United StatesD,United States,Michigan,Prefer not to say,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Social Work,Mental Health Counselor,45000,0,United StatesD,United States,Vermont,Morrisville,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Finance Assistant,45000,0,United StatesD,United States,Washington,Washington state,8 - 10 years,2 - 4 years,Some college,Woman
35-44,Transport Or Logistics,Cunited Statestomer Relations Clerk/Accounts Receivable Clerk,45000,0,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,1 year or less,Some college,Woman
35-44,"Accounting, Banking & Finance",Accounting Assistant ,45000,0,United StatesD,United States,Virginia,Alexandria ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Safety Coordinator,45000,0,United StatesD,United States,California,Eureka,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Health Care,Help Desk Technician,45000,0,United StatesD,United States,Minnesota,Eagan,8 - 10 years,1 year or less,College degree,Woman
25-34,E-Commerce,E-Commerce Specialist,45000,0,United StatesD,United States,North Carolina,Greensboro ,8 - 10 years,31 -  40 years,Master's degree,Woman
35-44,Hospitality & Events,Guest Services Manager,45000,1000,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Education (Higher Education),"Assistant Professor, Tenure-Track",45000,0,United StatesD,United States,Ohio,Rural,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Education (Higher Education),Tuition Coordinator,45000,0,United StatesD,United States,Mississippi,ColumbUnited States,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Career Coach,45000,0,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,5 - 7 years,Master's degree,Unknown
25-34,Nonprofits,College Success Manager,45000,0,United StatesD,United States,Arizona,Phoenix,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Insurance,Cunited Statestomer Service Representative,45000,0,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,1 year or less,Some college,Man
35-44,Tabletop Gaming,Project Manager/Head Of Content,44850,1000,CAD,Canada,Unknown,Ottawa,8 - 10 years,5 - 7 years,Some college,Man
25-34,Education (Primary/Secondary),Teacher/Mentor,44800,500,United StatesD,United States,New Jersey,Cherry Hill,8 - 10 years,2 - 4 years,College degree,Woman
18-24,Health Care,Cunited Statestomer Service Representative,44800,0,United StatesD,United States,Rhode Island,Providence,8 - 10 years,2 - 4 years,High School,Woman
25-34,Nonprofits,Press Officer,44784,0,GBP,United Kingdom,Unknown,London,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Engineering Or Manufacturing,Marine Engineer ,44720,10400,GBP,United Kingdom,Unknown,Plymouth,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Recruitment Or Hr,Compliance Assistant,44720,1000,United StatesD,United States,Pennsylvania,Jenkintown,8 - 10 years,5 - 7 years,College degree,Woman
55-64,Government And Public Administration,Executive And Hr Assistant,44450,0,United StatesD,United States,Illinois,Wheeling,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Retail,Service Coordinator,44200,50,United StatesD,United States,California,Beverly Hills,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Education (Primary/Secondary),Online Middle School Reading Intervention,44200,2000,United StatesD,United States,Alabama,Huntsville but company is in Eufaula,8 - 10 years,5 - 7 years,College degree,Non-binary
35-44,Health Care,Financial Specialist,44096,0,United StatesD,America,North Carolina,Lexington,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Education (Higher Education),Librarian,44000,0,United StatesD,United States,Georgia,Atlanta metro area,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Education (Higher Education),Assistant Dir. Of Admissions,44000,0,United StatesD,United States,Maryland,Annapolis,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Law,Legal Assistant ,44000,3000,United StatesD,United States,Texas,Dallas ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Media & Digital,Digital Content Editor ,44000,1000,United StatesD,United States,Idaho,Boise,8 - 10 years,5 - 7 years,College degree,Man
25-34,Nonprofits,Office Manager,44000,0,United StatesD,United States,New York,New York City,8 - 10 years,1 year or less,College degree,Woman
25-34,Nonprofits,Lead Pastor,44000,3000,United StatesD,United States,Texas,Arlington,8 - 10 years,11 - 20 years,Master's degree,Woman
25-34,Sales,Inside Sales,44000,0,United StatesD,United States,Wisconsin,Milwaukee,8 - 10 years,1 year or less,College degree,Man
25-34,Government And Public Administration,Assistant Planner,44000,0,United StatesD,America,Oregon,Portland ,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Education (Higher Education),Library Associate,44000,0,United StatesD,United States,Minnesota,Minneapolis,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Education (Higher Education),Human Resources Representative,43829,0,United StatesD,United States,Texas,San Marcos,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Library,Librarian,43800,0,United StatesD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Education (Primary/Secondary),Tutoring Center Manager,43700,550,United StatesD,United States,California,Dana Point,8 - 10 years,5 - 7 years,Some college,Man
25-34,Government And Public Administration,General Merchandise Buyer,43700,0,United StatesD,United States,Minnesota,Saint Paul,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Office & Communications Assistant,43680,0,United StatesD,United States,Oregon,Portland,8 - 10 years,5 - 7 years,College degree,Non-binary
25-34,Law,Legal Assistant,43680,100,United StatesD,United States,Oregon,Medford,8 - 10 years,5 - 7 years,Some college,Woman
35-44,It Security,Risk Assessment Analyst,43680,0,United StatesD,United States,Ohio,ColumbUnited States,8 - 10 years,2 - 4 years,College degree,Woman
25-34,"Marketing, Advertising & Pr",Content Writer,43680,300,United StatesD,United States,Indiana,Indianapolis ,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Media & Digital,Assistant Acquisitions Editor,43607,0,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Program Specialist Ii,43591,0,United StatesD,United States,North Carolina,Greensboro ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Property Or Construction,Labourer/Carpenter,43580,1000,CAD,Canada,Unknown,Toronto,8 - 10 years,2 - 4 years,Some college,Man
25-34,Law,Paralegal,43500,200,United StatesD,United States,Missouri,Springfield,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Mental Health,Therapist,43000,1000,United StatesD,United States,Montana,Missoula,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Computing Or Tech,Data Engineer ,43000,0,GBP,United Kingdom,Unknown,Cambridge,8 - 10 years,2 - 4 years,High School,Man
35-44,Government And Public Administration,Impact And Performance Manager,43000,0,GBP,United Kingdom,Unknown,Swindon,8 - 10 years,5 - 7 years,PhD,Woman
35-44,Health Care,Registered Behavior Technician ,43000,0,United StatesD,United States,Unknown,San Diego ,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Health Care,Systems Analyst,43000,0,United StatesD,United States,Illinois,southern IL,8 - 10 years,5 - 7 years,College degree,Man
25-34,Immigration,Projects Coordinator,43000,0,CAD,Canada,Unknown,Brockville,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Administrative Assistant,43000,0,CAD,Canada,Unknown,Vancouver,8 - 10 years,1 year or less,College degree,Woman
25-34,Nonprofits,"Manager, Membership And Annual Fund",43000,0,United StatesD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Medical Research,Clinical Biospecimen Coordinator,43000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,2 - 4 years,College degree,Non-binary
25-34,Retail,Department Assistant Manager,43000,0,AUD/NZD,Australia,Unknown,Townsville,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,It Support Technician,43000,0,United StatesD,United States,Pennsylvania,Philadelphia,8 - 10 years,2 - 4 years,Master's degree,Man
25-34,Education (Primary/Secondary),Teacher,43000,0,United StatesD,United States,Virginia,Midlothian,8 - 10 years,2 - 4 years,Master's degree,Man
25-34,Media & Digital,Freelance Writer,43000,0,United StatesD,United States,Tennessee,Nashville,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Media & Digital,Senior Project Editor,43000,0,United StatesD,United States,New Jersey,Thorofare,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Staff Accountant,43000,2000,United StatesD,United States,California,San diego,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Government And Public Administration,Youth Services Librarian,43000,0,United StatesD,United States,Georgia,Marietta,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Sales,Community Loyalty Team Representative,43000,1000,United StatesD,United States,New York,Norwich,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Administrative Assistant/Hr,43000,0,United StatesD,United States,Minnesota,Saint Paul,8 - 10 years,2 - 4 years,College degree,Woman
